NO_OF_FRAMES	7200
NO_OF_CAMERAS	12
NO_OF_MARKERS	8
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-02-08, 11:55:03	228381.22308140
DATA_INCLUDED	3D
MARKER_NAMES	ASISL	medialKnee	lateralKnee	medialMalleolus	lateralMalleolus	heel	toe	sacral
ASISL X	ASISL Y	ASISL Z	medialKnee X	medialKnee Y	medialKnee Z	lateralKnee X	lateralKnee Y	lateralKnee Z	medialMalleolus X	medialMalleolus Y	medialMalleolus Z	lateralMalleolus X	lateralMalleolus Y	lateralMalleolus Z	heel X	heel Y	heel Z	toe X	toe Y	toe Z	sacral X	sacral Y	sacral Z	
0.000	0.000	0.000	544.357	281.926	497.415	427.176	189.979	520.033	337.559	294.425	129.568	264.504	240.271	133.456	205.230	327.659	27.817	465.833	120.341	62.587	105.284	601.336	721.203
0.000	0.000	0.000	544.341	282.139	497.364	427.186	190.137	520.023	337.537	294.334	129.709	264.538	240.205	133.495	205.156	327.639	27.766	465.844	120.347	62.581	105.236	601.154	721.648
0.000	0.000	0.000	544.287	282.334	497.342	427.206	190.256	520.016	337.525	294.422	129.538	264.467	240.218	133.455	205.162	327.641	27.739	465.831	120.350	62.597	105.188	600.995	722.143
0.000	0.000	0.000	544.238	282.516	497.283	427.256	190.387	520.053	337.486	294.339	129.674	264.491	240.181	133.465	205.137	327.630	27.714	465.837	120.378	62.600	105.165	600.877	722.482
0.000	0.000	0.000	544.212	282.654	497.210	427.365	190.445	520.101	337.472	294.333	129.639	264.319	240.248	133.328	205.173	327.602	27.687	465.846	120.350	62.612	105.179	600.757	722.843
0.000	0.000	0.000	544.199	282.786	497.148	427.400	190.530	520.140	337.476	294.339	129.631	264.395	240.087	133.340	205.121	327.532	27.617	465.861	120.333	62.603	105.171	600.683	723.185
0.000	0.000	0.000	544.183	282.922	497.112	427.428	190.594	520.176	337.489	294.451	129.450	264.395	240.096	133.376	205.128	327.581	27.607	465.854	120.367	62.625	105.124	600.541	723.601
0.000	0.000	0.000	544.145	283.025	497.071	427.433	190.750	520.195	337.426	294.420	129.422	264.338	240.175	133.340	205.158	327.587	27.587	465.839	120.380	62.649	105.103	600.416	724.067
0.000	0.000	0.000	544.132	283.148	497.009	427.436	190.843	520.189	337.395	294.376	129.571	264.222	240.247	133.251	205.118	327.631	27.575	465.799	120.397	62.643	105.079	600.305	724.502
0.000	0.000	0.000	544.105	283.242	496.946	427.476	190.913	520.239	337.357	294.372	129.556	264.204	240.271	133.243	205.119	327.628	27.558	465.814	120.400	62.662	105.056	600.221	724.875
0.000	0.000	0.000	544.058	283.316	496.892	427.479	190.957	520.276	337.348	294.323	129.563	264.208	240.286	133.273	205.090	327.618	27.572	465.783	120.378	62.680	105.011	600.131	725.200
